,0,0
0,72.0,67
1,72.0,67
2,72.0,70
3,72.0,74
4,72.0,76
5,72.0,76
6,72.0,73
7,72.0,73
8,72.0,72
9,72.0,72
10,72.0,72
11,72.0,71
12,72.0,72
13,72.0,72
14,72.0,71
15,72.0,72
16,72.0,72
17,72.0,71
18,72.0,75
19,72.0,75
20,72.0,73
21,72.0,73
22,72.0,73
23,72.0,72
24,72.0,72
25,72.0,72
26,72.0,73
27,72.0,73
28,72.0,73
29,72.0,73
30,72.0,73
31,72.0,73
32,72.0,73
33,72.0,73
34,72.0,73
35,72.0,73
36,72.0,73
37,72.0,72
38,72.0,72
39,72.0,72
40,72.0,72
41,72.0,70
42,72.0,70
43,72.0,69
44,72.0,69
45,72.0,69
46,72.0,69
47,72.0,69
48,72.0,70
49,72.0,71
50,67.0,66
51,67.0,66
52,67.0,66
53,67.0,66
54,67.0,66
55,67.0,69
56,67.0,69
57,67.0,68
58,67.0,69
59,67.0,67
60,67.0,67
61,67.0,67
62,67.0,67
63,67.0,66
64,67.0,66
65,67.0,66
66,67.0,66
67,67.0,66
68,67.0,66
69,67.0,66
70,67.0,67
71,67.0,67
72,67.0,67
73,67.0,68
74,67.0,68
75,67.0,68
76,67.0,68
77,67.0,67
78,67.0,67
79,67.0,67
80,67.0,67
81,67.0,67
82,67.0,67
83,67.0,67
84,67.0,67
85,67.0,66
86,67.0,66
87,67.0,66
88,67.0,66
89,67.0,66
90,67.0,66
91,67.0,66
92,67.0,66
93,67.0,65
94,67.0,65
95,67.0,64
96,67.0,64
97,67.0,64
98,67.0,65
99,67.0,65
100,94.0,92
101,94.0,93
102,94.0,93
103,94.0,93
104,94.0,94
105,94.0,93
106,94.0,94
107,94.0,93
108,94.0,93
109,94.0,94
110,94.0,94
111,94.0,94
112,94.0,93
113,94.0,94
114,94.0,93
115,94.0,94
116,94.0,94
117,94.0,94
118,94.0,73
119,94.0,95
120,94.0,94
121,94.0,94
122,94.0,94
123,94.0,94
124,94.0,73
125,94.0,73
126,94.0,94
127,94.0,94
128,94.0,73
129,94.0,73
130,94.0,73
131,94.0,93
132,94.0,93
133,94.0,94
134,94.0,93
135,94.0,93
136,94.0,93
137,94.0,93
138,94.0,93
139,94.0,92
140,94.0,93
141,94.0,93
142,94.0,94
143,94.0,94
144,94.0,94
145,94.0,94
146,94.0,93
147,94.0,93
148,94.0,93
149,94.0,93
150,72.0,74
151,72.0,74
152,72.0,74
153,72.0,73
154,72.0,74
155,72.0,74
156,72.0,74
157,72.0,74
158,72.0,74
159,72.0,74
160,72.0,74
161,72.0,74
162,72.0,74
163,72.0,74
164,72.0,74
165,72.0,74
166,72.0,74
167,72.0,74
168,72.0,74
169,72.0,74
170,72.0,74
171,72.0,74
172,72.0,74
173,72.0,74
174,72.0,74
175,72.0,74
176,72.0,74
177,72.0,74
178,72.0,74
179,72.0,74
180,72.0,74
181,72.0,74
182,72.0,74
183,72.0,74
184,72.0,74
185,72.0,74
186,72.0,74
187,72.0,74
188,72.0,74
189,72.0,74
190,72.0,74
191,72.0,74
192,72.0,74
193,72.0,74
194,72.0,74
195,72.0,74
196,72.0,74
197,72.0,73
198,72.0,73
199,72.0,73
200,72.0,70
201,72.0,70
202,72.0,70
203,72.0,70
204,72.0,71
205,72.0,72
206,72.0,72
207,72.0,72
208,72.0,71
209,72.0,71
210,72.0,71
211,72.0,71
212,72.0,72
213,72.0,72
214,72.0,73
215,72.0,73
216,72.0,73
217,72.0,73
218,72.0,73
219,72.0,74
220,72.0,74
221,72.0,73
222,72.0,72
223,72.0,70
224,72.0,70
225,72.0,70
226,72.0,70
227,72.0,71
228,72.0,71
229,72.0,71
230,72.0,71
231,72.0,71
232,72.0,71
233,72.0,72
234,72.0,72
235,72.0,73
236,72.0,73
237,72.0,73
238,72.0,73
239,72.0,73
240,72.0,73
241,72.0,74
242,72.0,74
243,72.0,74
244,72.0,74
245,72.0,74
246,72.0,74
247,72.0,74
248,72.0,74
249,72.0,74
250,63.0,67
251,63.0,67
252,63.0,67
253,63.0,70
254,63.0,71
255,63.0,71
256,63.0,71
257,63.0,71
258,63.0,66
259,63.0,66
260,63.0,66
261,63.0,66
262,63.0,66
263,63.0,66
264,63.0,67
265,63.0,67
266,63.0,67
267,63.0,67
268,63.0,67
269,63.0,67
270,63.0,67
271,63.0,67
272,63.0,67
273,63.0,66
274,63.0,67
275,63.0,67
276,63.0,67
277,63.0,67
278,63.0,67
279,63.0,67
280,63.0,68
281,63.0,67
282,63.0,68
283,63.0,68
284,63.0,68
