,0,0
0,120.0,116
1,120.0,117
2,120.0,119
3,120.0,120
4,120.0,122
5,120.0,122
6,120.0,122
7,120.0,122
8,120.0,121
9,120.0,121
10,120.0,121
11,120.0,120
12,120.0,121
13,120.0,121
14,120.0,120
15,120.0,121
16,120.0,121
17,120.0,120
18,120.0,126
19,120.0,126
20,120.0,122
21,120.0,122
22,120.0,122
23,120.0,122
24,120.0,122
25,120.0,122
26,120.0,121
27,120.0,121
28,120.0,121
29,120.0,121
30,120.0,121
31,120.0,121
32,120.0,121
33,120.0,121
34,120.0,121
35,120.0,121
36,120.0,121
37,120.0,119
38,120.0,120
39,120.0,119
40,120.0,119
41,120.0,118
42,120.0,118
43,120.0,118
44,120.0,118
45,120.0,118
46,120.0,117
47,120.0,118
48,120.0,118
49,120.0,118
50,116.0,118
51,116.0,118
52,116.0,118
53,116.0,118
54,116.0,118
55,116.0,119
56,116.0,119
57,116.0,119
58,116.0,119
59,116.0,118
60,116.0,118
61,116.0,118
62,116.0,118
63,116.0,118
64,116.0,118
65,116.0,118
66,116.0,118
67,116.0,119
68,116.0,119
69,116.0,119
70,116.0,119
71,116.0,119
72,116.0,119
73,116.0,119
74,116.0,119
75,116.0,119
76,116.0,119
77,116.0,119
78,116.0,119
79,116.0,119
80,116.0,119
81,116.0,120
82,116.0,120
83,116.0,120
84,116.0,119
85,116.0,119
86,116.0,119
87,116.0,119
88,116.0,118
89,116.0,118
90,116.0,118
91,116.0,118
92,116.0,118
93,116.0,118
94,116.0,117
95,116.0,116
96,116.0,116
97,116.0,116
98,116.0,117
99,116.0,117
100,143.0,142
101,143.0,145
102,143.0,145
103,143.0,144
104,143.0,144
105,143.0,144
106,143.0,144
107,143.0,144
108,143.0,144
109,143.0,144
110,143.0,144
111,143.0,144
112,143.0,144
113,143.0,145
114,143.0,144
115,143.0,145
116,143.0,146
117,143.0,146
118,143.0,123
119,143.0,146
120,143.0,145
121,143.0,145
122,143.0,145
123,143.0,145
124,143.0,122
125,143.0,122
126,143.0,144
127,143.0,144
128,143.0,122
129,143.0,122
130,143.0,122
131,143.0,144
132,143.0,144
133,143.0,144
134,143.0,143
135,143.0,143
136,143.0,143
137,143.0,143
138,143.0,143
139,143.0,142
140,143.0,143
141,143.0,143
142,143.0,144
143,143.0,144
144,143.0,144
145,143.0,144
146,143.0,144
147,143.0,144
148,143.0,143
149,143.0,143
150,125.0,121
151,125.0,121
152,125.0,121
153,125.0,121
154,125.0,121
155,125.0,121
156,125.0,122
157,125.0,122
158,125.0,123
159,125.0,123
160,125.0,125
161,125.0,125
162,125.0,124
163,125.0,125
164,125.0,124
165,125.0,124
166,125.0,124
167,125.0,124
168,125.0,124
169,125.0,123
170,125.0,123
171,125.0,124
172,125.0,124
173,125.0,124
174,125.0,124
175,125.0,124
176,125.0,124
177,125.0,124
178,125.0,124
179,125.0,124
180,125.0,124
181,125.0,124
182,125.0,124
183,125.0,124
184,125.0,124
