,Category,Value,Value.1,Value.2,Value.3
146,ppg,181809.0,165702.0,66.0,95.0
147,ppg,181815.0,165698.0,66.0,95.0
148,ppg,181822.0,165699.0,66.0,95.0
149,ppg,181822.0,165699.0,66.0,95.0
150,ppg,181845.0,165704.0,66.0,95.0
151,ppg,181864.0,165715.0,66.0,95.0
152,ppg,181882.0,165732.0,66.0,95.0
153,ppg,181893.0,165738.0,66.0,95.0
154,ppg,181902.0,165746.0,66.0,95.0
155,ppg,181908.0,165731.0,66.0,95.0
156,ppg,181924.0,165748.0,66.0,95.0
157,ppg,181938.0,165748.0,66.0,95.0
158,ppg,181953.0,165756.0,66.0,95.0
159,ppg,181956.0,165758.0,66.0,95.0
160,ppg,181975.0,165763.0,66.0,95.0
161,ppg,181998.0,165775.0,66.0,95.0
162,ppg,182015.0,165776.0,66.0,95.0
163,ppg,182043.0,165785.0,66.0,95.0
164,ppg,182059.0,165797.0,66.0,95.0
165,ppg,182076.0,165805.0,66.0,95.0
166,ppg,180517.0,165157.0,66.0,95.0
167,ppg,180537.0,165166.0,66.0,95.0
168,ppg,180565.0,165174.0,66.0,95.0
169,ppg,180588.0,165186.0,66.0,95.0
170,ppg,180611.0,165194.0,66.0,95.0
171,ppg,180655.0,165212.0,66.0,95.0
172,ppg,180676.0,165225.0,66.0,95.0
173,ppg,180710.0,165252.0,66.0,95.0
174,ppg,180749.0,165268.0,66.0,95.0
175,ppg,180767.0,165284.0,66.0,95.0
176,ppg,180806.0,165294.0,66.0,95.0
177,ppg,180806.0,165294.0,66.0,95.0
178,ppg,180847.0,165314.0,66.0,95.0
179,ppg,180873.0,165337.0,66.0,95.0
180,ppg,180907.0,165354.0,66.0,95.0
181,ppg,180937.0,165372.0,66.0,95.0
182,ppg,180949.0,165375.0,66.0,95.0
183,ppg,180984.0,165387.0,66.0,95.0
184,ppg,181008.0,165399.0,66.0,95.0
185,ppg,181030.0,165413.0,66.0,95.0
186,ppg,181051.0,165418.0,66.0,95.0
187,ppg,181072.0,165423.0,66.0,95.0
188,ppg,181107.0,165439.0,66.0,95.0
189,ppg,181119.0,165457.0,66.0,95.0
190,ppg,181148.0,165467.0,66.0,95.0
191,ppg,181177.0,165474.0,66.0,95.0
192,ppg,181194.0,165494.0,66.0,95.0
193,ppg,181234.0,165506.0,66.0,95.0
194,ppg,180091.0,165162.0,66.0,95.0
195,ppg,180119.0,165184.0,66.0,95.0
196,ppg,180160.0,165209.0,66.0,95.0
197,ppg,180210.0,165231.0,66.0,95.0
198,ppg,180251.0,165247.0,66.0,95.0
199,ppg,180292.0,165272.0,66.0,95.0
200,ppg,180337.0,165289.0,66.0,95.0
201,ppg,180388.0,165312.0,66.0,95.0
202,ppg,180428.0,165338.0,66.0,95.0
203,ppg,180486.0,165358.0,66.0,95.0
204,ppg,180529.0,165380.0,66.0,95.0
205,ppg,180599.0,165398.0,66.0,95.0
206,ppg,180642.0,165436.0,66.0,95.0
207,ppg,180711.0,165461.0,66.0,95.0
208,ppg,180747.0,165489.0,66.0,95.0
209,ppg,180796.0,165506.0,66.0,95.0
210,ppg,180829.0,165529.0,66.0,95.0
211,ppg,180879.0,165538.0,66.0,95.0
212,ppg,180879.0,165538.0,66.0,95.0
213,ppg,180918.0,165568.0,66.0,95.0
214,ppg,180959.0,165583.0,66.0,95.0
215,ppg,180990.0,165593.0,66.0,95.0
216,ppg,181024.0,165610.0,66.0,95.0
217,ppg,181041.0,165623.0,66.0,95.0
218,ppg,181059.0,165621.0,66.0,95.0
219,ppg,181073.0,165636.0,66.0,95.0
220,ppg,181087.0,165636.0,66.0,95.0
221,ppg,181107.0,165648.0,66.0,95.0
222,ppg,181129.0,165660.0,66.0,95.0
223,ppg,181159.0,165663.0,66.0,95.0
224,ppg,181182.0,165686.0,66.0,95.0
225,ppg,181211.0,165698.0,66.0,95.0
226,ppg,181220.0,165692.0,66.0,95.0
227,ppg,181229.0,165699.0,66.0,95.0
228,ppg,180130.0,165395.0,66.0,95.0
229,ppg,180168.0,165429.0,66.0,95.0
230,ppg,180208.0,165445.0,66.0,95.0
231,ppg,180233.0,165459.0,66.0,95.0
232,ppg,180278.0,165470.0,66.0,95.0
233,ppg,180310.0,165489.0,66.0,95.0
234,ppg,180350.0,165496.0,66.0,95.0
235,ppg,180386.0,165512.0,66.0,95.0
236,ppg,180415.0,165529.0,66.0,95.0
237,ppg,180456.0,165563.0,66.0,95.0
238,ppg,180508.0,165572.0,66.0,95.0
239,ppg,180542.0,165590.0,66.0,95.0
240,ppg,180583.0,165605.0,66.0,95.0
241,ppg,180615.0,165615.0,66.0,95.0
242,ppg,180657.0,165637.0,66.0,95.0
243,ppg,180679.0,165648.0,66.0,95.0
244,ppg,180717.0,165664.0,66.0,95.0
245,ppg,180748.0,165671.0,66.0,95.0
246,ppg,180781.0,165680.0,66.0,95.0
247,ppg,180821.0,165706.0,66.0,95.0
248,ppg,180821.0,165706.0,66.0,95.0
249,ppg,180841.0,165721.0,66.0,95.0
250,ppg,180859.0,165725.0,66.0,95.0
251,ppg,180896.0,165747.0,66.0,95.0
252,ppg,180917.0,165752.0,66.0,95.0
