Category,Value1,Value2,Value3,Value4
ppg,0.9028344427743182,0.9057582569600553,87.0,94.0
ppg,0.9074511488082456,0.9097354314369704,87.0,94.0
ppg,0.9120678548421731,0.9131938440255922,87.0,94.0
ppg,0.914966716770453,0.9149230503199032,87.0,94.0
ppg,0.914966716770453,0.9149230503199032,87.0,94.0
ppg,0.9164698303628945,0.916479335984783,87.0,94.0
ppg,0.9176508481855271,0.9169980978730763,87.0,94.0
ppg,0.9165771956194976,0.9171710185025074,87.0,94.0
ppg,0.914966716770453,0.9147501296904721,87.0,94.0
ppg,0.9134636031780116,0.9147501296904721,87.0,94.0
ppg,0.9112089327893493,0.9138855265433167,87.0,94.0
ppg,0.9087395318874812,0.9112917171018502,87.0,94.0
ppg,0.9090616276572901,0.9114646377312814,87.0,94.0
ppg,0.9086321666308782,0.9112917171018502,87.0,94.0
ppg,0.9090616276572901,0.9125021615078679,87.0,94.0
ppg,0.9093837234270989,0.9106000345841259,87.0,94.0
ppg,0.9123899506119819,0.9128480027667301,87.0,94.0
ppg,0.9136783336912175,0.9159605740964897,87.0,94.0
ppg,0.9177582134421302,0.9176897803908006,87.0,94.0
ppg,0.9203349796006013,0.9197648279439737,87.0,94.0
ppg,0.9223749194760575,0.9213211136088535,87.0,94.0
ppg,0.9258106076873523,0.9237420024208888,87.0,94.0
ppg,0.9283873738458235,0.9265087324917862,87.0,94.0
ppg,0.9319304273137213,0.9292754625626837,87.0,94.0
ppg,0.9343998282155894,0.9327338751513056,87.0,94.0
ppg,0.8353016963710543,0.8563029569427633,87.0,94.0
ppg,0.8356237921408632,0.8568217188310565,87.0,94.0
ppg,0.8360532531672751,0.8571675600899187,87.0,94.0
ppg,0.8364827141936869,0.8569946394604876,87.0,94.0
ppg,0.8398110371483788,0.8613176551962649,87.0,94.0
ppg,0.8443203779257032,0.8620093377139892,87.0,94.0
ppg,0.8487223534464248,0.8666781947086287,87.0,94.0
ppg,0.8524801374275285,0.8715199723326993,87.0,94.0
ppg,0.8524801374275285,0.8715199723326993,87.0,94.0
ppg,0.8570968434614559,0.8761888293273388,87.0,94.0
ppg,0.8612840884689714,0.8789555593982362,87.0,94.0
ppg,0.865363968219884,0.8822410513574269,87.0,94.0
ppg,0.8705175005368263,0.8855265433166176,87.0,94.0
ppg,0.8741679192613271,0.8889849559052395,87.0,94.0
ppg,0.8798582778612841,0.8934808922704479,87.0,94.0
ppg,0.8856560017178441,0.8972851461179319,87.0,94.0
ppg,0.8902727077517715,0.9031644475185889,87.0,94.0
ppg,0.8961777968649345,0.9073145426249352,87.0,94.0
ppg,0.9004724071290531,0.9114646377312814,87.0,94.0
ppg,0.9044449216233627,0.9135396852844544,87.0,94.0
ppg,0.9075585140648487,0.914577209061041,87.0,94.0
ppg,0.9105647412497316,0.9192460660556805,87.0,94.0
